run,p,k,beta_l2,beta_inf
1,1.0,5333,201.5643496876956,94.58093226064342
2,1.0,3716,267.3303201264435,128.50258984772387
3,1.0,3980,180.5652288618189,92.93088205842317
4,1.0,2432,415.49020935980593,214.75205775136857
5,1.0,4135,307.20784811936505,154.40353818294312
1,1.5,2046,84.33690949919247,39.11623582759123
2,1.5,3512,125.68872365775267,69.86922532748613
3,1.5,4368,79.18456065692399,45.05319691828436
4,1.5,2171,86.93656077834503,37.626128603357
5,1.5,6687,159.20192096447352,87.64499812384095
1,2.0,3605,70.47133101724248,37.41139225941971
2,2.0,2432,72.99233412119717,44.94636997565496
3,2.0,12876,79.39753417110046,50.75083955601927
4,2.0,2625,57.21121079770162,31.23163469177433
5,2.0,2746,82.1202481793065,49.93654187729308
1,2.5,3593,52.31596222753544,30.397736993858476
2,2.5,7073,59.94558080274814,31.87390567520932
3,2.5,4754,56.70478787550158,36.14484393216145
4,2.5,2781,78.33732618415293,47.15664899280148
5,2.5,6687,42.50810249418915,25.63028844213048
1,3.0,4753,50.23307941620849,33.572558921444795
2,3.0,5140,30.641170238613046,18.55489076762728
3,3.0,5445,45.02122774318203,30.06050517232751
4,3.0,5140,58.04944939939979,38.881896965251066
5,3.0,6687,62.68038593377243,37.39307202646148
1,3.5,12875,45.92917983663826,29.53267375227305
2,3.5,8306,47.99737574891785,29.36052444756995
3,3.5,14035,5.22993841294143,2.4221003704191784
4,3.5,12923,46.39428203595631,29.943902893771806
5,3.5,12875,39.51189319892144,26.01311149089294
1,4.0,6686,39.08506503224275,20.13703006184354
2,4.0,14089,3.7325303266826944,3.046562681982331
3,4.0,13150,4.007250871220844,2.1965186836565067
4,4.0,11012,40.43049920328428,21.92033323774508
5,4.0,9781,8.022849107817068,4.319786702265505
1,4.5,16422,6.597128601612886,3.561314747979365
2,4.5,25251,4.8947910105772685,2.57931356024167
3,4.5,9387,5.301924860495114,4.078231877435959
4,4.5,16161,5.958765275138108,4.032235632266019
5,4.5,13104,6.071140350895989,3.781663371223922
1,5.0,10334,74.18912836305758,40.65343793800881
2,5.0,16305,4.165889228714236,3.2676755899296044
3,5.0,12439,6.383030734582108,4.047421944691015
4,5.0,16644,6.157631424159349,3.701618307390279
5,5.0,12101,5.118910127794919,2.8310858526509177
6,1.0,6688,131.11278174259155,71.1074748076445
7,1.0,1827,296.8950597282171,178.45460233182095
8,1.0,2624,209.45754474999512,115.08223536549498
9,1.0,2915,264.7051952955348,129.49004840813603
10,1.0,3206,346.55687475046994,183.80529223143492
11,1.0,1933,283.03499658462056,172.13811442212864
6,1.5,3332,148.2005363228591,79.06336602699358
7,1.5,4100,74.68823779437169,43.9723564297277
8,1.5,4105,110.54847141526541,60.30503035686901
9,1.5,2551,166.69574254584123,89.9135910631622
10,1.5,6687,119.52826844789557,61.40233302473159
11,1.5,3593,143.21393810899016,74.19900301579686
6,2.0,1659,102.18276913110681,55.16679290909188
7,2.0,4088,106.90588290295774,64.50748796082617
8,2.0,2432,66.24004083591005,36.76359349769969
9,2.0,2046,70.03815443199416,39.950277722021994
10,2.0,2046,75.58769621231336,40.404681904275705
11,2.0,2915,65.93279593650254,36.385390490072226
6,2.5,4753,40.87969705073789,26.34348500037739
7,2.5,4172,43.7479508092977,25.724304360879827
8,2.5,6688,55.996979224021544,35.71423928245887
9,2.5,3206,70.55501628889733,43.62242940479113
10,2.5,6687,41.8356860073293,23.573314001603073
11,2.5,4366,40.89401311215582,23.747775328290075
6,3.0,7460,57.9022876544052,35.53716655008901
7,3.0,3593,58.14090791420524,37.353545842334185
8,3.0,6736,42.69741369204862,28.270453504244813
9,3.0,7460,52.2075236547883,33.04628682847154
10,3.0,5719,63.684949524337746,40.23057962829318
11,3.0,12876,47.8159942897029,31.59802731789958
6,3.5,8910,48.06594901228396,31.292571086386324
7,3.5,8234,45.925919197784324,29.33987787796343
8,3.5,12875,46.201419299824245,28.52782180939586
9,3.5,12101,42.88193557173643,26.611753794757412
10,3.5,13025,46.76280241617844,30.33268771549904
11,3.5,11328,39.53933999407925,26.787040967797125
6,4.0,12125,43.024347667548746,30.21537173219597
7,4.0,12018,48.93243095166001,32.43369844587487
8,4.0,11328,41.57976201127572,27.006784566332605
9,4.0,10554,5.761474220476849,4.234303057663007
10,4.0,15388,5.326467365660225,3.489005482160689
11,4.0,12724,3.474643080761165,2.0434184280676524
6,4.5,25444,5.296451143577714,2.721181659650483
7,4.5,12875,6.76033516540017,3.9722032771634344
8,4.5,25298,5.658057195271714,3.943349122506563
9,4.5,15968,5.562420224841064,3.7484462080955985
10,4.5,12875,6.996534091051717,3.6546757022994174
11,4.5,12914,5.905135760753519,3.343696716349386
6,5.0,13551,5.280453501855021,3.462939243678231
7,5.0,14807,7.4818378921169915,3.595598820867252
8,5.0,20995,4.211469703937067,3.158055834794811
9,5.0,25266,3.9622677304829965,3.099005898994278
10,5.0,9781,4.286101156578791,3.0115692164075334
11,5.0,9781,6.597360783640939,3.5495344903898793
